id;megnevezes;bruttó_fizetes;elvart_tapasztalati_evek;tavmunka;publikácio_ideje
34912;PHP programozó;380000;4;0;2020-12-20
36222;JS fejlesztő;560000;3;0;2020-11-03
36255;Java programozó;690000;4;1;2020-11-10
36245;rendszergazda;350000;2;0;2020-10-26
34511;PHP programozó;350000;4;1;2021-01-10
34678;.NET fejlesztő;400000;3;0;2021-01-10
34112;SQL specialista;660000;3;0;2020-08-10
36114;rendszergazda;360000;0;0;2020-08-03
35263;PHP programozó;400000;0;1;2021-01-10
35891;Java programozó;490000;2;0;2020-06-03
34726;.NET fejlesztő;300000;1;0;2020-07-28
32723;Ruby fejlesztő;720000;4;1;2021-01-10
34125;Pyton fejlesztő;690000;4;0;2020-09-05
32819;rendszergazda;350000;5;0;2021-01-11
33141;PHP programozó;290000;2;0;2021-01-10
37011;.NET fejlesztő;460000;1;0;2021-01-11
32609;Java programozó;980000;5;1;2021-01-05
34110;rendszergazda;450000;3;0;2020-09-27
35611;SQL specialista;420000;5;0;2021-01-10
36912;Pyton fejlesztő;620000;5;0;2021-01-11
37138;C++ fejlesztő;550000;2;0;2020-08-03
34851;C++ fejlesztő;650000;5;0;2020-10-01
39177;Java programozó;550000;2;0;2020-09-20
37521;Pyton fejlesztő;580000;5;0;2021-01-05
39123;JS fejlesztő;595000;2;1;2020-09-10
37152;rendszergazda;380000;5;0;2020-09-04
37822;Java fejlesztő;370000;0;1;2020-08-05
39711;rendszergazda;410000;3;0;2021-01-11
39788;C# fejlesztő;630000;5;0;2021-01-11
33127;rendszergazda;360000;5;0;2021-01-11
32891;C++ fejlesztő;450000;3;0;2021-01-05
